date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:39	7749395/7749395	---M--	200	added ('OK')	application/pdf	etag:%22c46fe26628da1:0%22	https://www.mscepune.in/gcc/kp2023/KENDRAPRAMUKH%20EXAM%20ADVERTICEMENT.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/kp2023/KENDRAPRAMUKH%20EXAM%20ADVERTICEMENT.pdf	(from https://www.mscepune.in/)
00:19:45	313142/313142	---M--	200	added ('OK')	application/pdf	etag:%220cde6c4475eda1:0%22	http://www.mscepune.in/gcc/path/TAIT2022PDF.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/TAIT2022PDF.pdf	(from https://www.mscepune.in/)
00:19:47	88817/88817	---M--	200	added ('OK')	image/jpeg	etag:%2255c382aa8883db1:0%22	http://www.mscepune.in/GCC/path/Internet%20Lease%20Line.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Internet%20Lease%20Line.jpg	(from https://www.mscepune.in/)
00:19:49	394470/394470	---M--	200	added ('OK')	image/jpeg	etag:%2271d34bf595ed91:0%22	http://www.mscepune.in/gcc/path/TAIT01.jpg	/home/paresh/websites/mst/www.mscepune.in/gcc/path/TAIT01.jpg	(from https://www.mscepune.in/)
00:19:53	329037/329037	---M--	200	added ('OK')	application/pdf	etag:%22831543fac70db1:0%22	http://www.mscepune.in/GCC/path/requotation%2027.1.25.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/requotation%2027.1.25.pdf	(from https://www.mscepune.in/)
00:19:57	304013/304013	---M--	200	added ('OK')	application/pdf	etag:%221cef11663667db1:0%22	http://www.mscepune.in/GCC/path/quotation%2014.1.25.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/quotation%2014.1.25.pdf	(from https://www.mscepune.in/)
00:19:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:49:55%20GMT	http://www.mscepune.in/GCC/path/%c3%a0%c2%a4%c2%b5%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%b9%c3%a0%c2%a4%c2%a8.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/%c3%a0%c2%a4%c2%b5%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%b9%c3%a0%c2%a4%c2%a8.30.delayed	(from https://www.mscepune.in/)
00:20:15	608241/608241	---M--	200	added ('OK')	application/pdf	etag:%226945d75f3667db1:0%22	http://www.mscepune.in/GCC/path/quotation%2014.01.25.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/quotation%2014.01.25.pdf	(from https://www.mscepune.in/)
00:20:18	608842/608842	---M--	200	added ('OK')	application/pdf	etag:%22b87fc96ed751db1:0%22	http://www.mscepune.in/GCC/path/quotation12.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/quotation12.pdf	(from https://www.mscepune.in/)
00:20:27	1021570/1021570	---M--	200	added ('OK')	application/pdf	etag:%22dcb036633667db1:0%22	http://www.mscepune.in/GCC/path/quotation%2014.01.25%20(2).pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/quotation%2014.01.25%20(2).pdf	(from https://www.mscepune.in/)
00:20:41	1015143/1015143	---M--	200	added ('OK')	application/pdf	etag:%22ec3fa4b9922dda1:0%22	http://www.mscepune.in/GCC/path/Server_Rental.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Server_Rental.pdf	(from https://www.mscepune.in/)
00:21:20	1209186/1209186	---M--	200	added ('OK')	application/pdf	etag:%2206a5cb801dda1:0%22	http://www.mscepune.in/GCC/path/Revolving%20chair.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Revolving%20chair.pdf	(from https://www.mscepune.in/)
00:21:59	1084956/1084956	---M--	200	added ('OK')	application/pdf	etag:%2202fb288931cda1:0%22	http://www.mscepune.in/GCC/path/Ladder.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Ladder.pdf	(from https://www.mscepune.in/)
00:22:06	3724619/3724619	---M--	200	added ('OK')	application/pdf	etag:%2257bce4ba922dda1:0%22	http://www.mscepune.in/GCC/path/Xerox%20Machine.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Xerox%20Machine.pdf	(from https://www.mscepune.in/)
00:22:07	3886602/3886602	---M--	200	added ('OK')	application/pdf	etag:%22dea724be6132da1:0%22	http://www.mscepune.in/GCC/path/Trunka.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Trunka.pdf	(from https://www.mscepune.in/)
00:22:07	3431251/3431251	---M--	200	added ('OK')	application/pdf	etag:%22167269483827da1:0%22	http://www.mscepune.in/GCC/path/FAN%2004.12.2023.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/FAN%2004.12.2023.pdf	(from https://www.mscepune.in/)
00:22:21	3697199/3697199	---M--	200	added ('OK')	application/pdf	etag:%22361c94353827da1:0%22	http://www.mscepune.in/GCC/path/TRUNKA%2004.12.2023.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/TRUNKA%2004.12.2023.pdf	(from https://www.mscepune.in/)
00:22:29	3692605/3692605	---M--	200	added ('OK')	application/pdf	etag:%226cf951313827da1:0%22	http://www.mscepune.in/GCC/path/NUT%20%20BOLT4.12%20(3).pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/NUT%20%20BOLT4.12%20(3).pdf	(from https://www.mscepune.in/)
00:22:39	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:37%20GMT	http://www.mscepune.in/GCC/internal%20quotation.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/internal%20quotation.40.delayed	(from https://www.mscepune.in/)
00:22:41	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:39%20GMT	http://www.mscepune.in/GCC/Internal%20Audit%20Quotation.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/Internal%20Audit%20Quotation.41.delayed	(from https://www.mscepune.in/)
00:22:43	273319/273319	---M--	200	added ('OK')	application/pdf	etag:%22062d75f67da1:0%22	http://www.mscepune.in/GCC/path/stationary%20darpatrak.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/stationary%20darpatrak.pdf	(from https://www.mscepune.in/)
00:22:43	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:41%20GMT	http://mscepune.in/Bhandar2022/Darpatrak.pdf	/home/paresh/websites/mst/mscepune.in/Bhandar2022/Darpatrak.42.delayed	(from https://www.mscepune.in/)
00:22:45	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:43%20GMT	http://www.mscepune.in/Bhandar2022/EPABX.pdf	/home/paresh/websites/mst/www.mscepune.in/Bhandar2022/EPABX.43.delayed	(from https://www.mscepune.in/)
00:22:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:45%20GMT	http://www.mscepune.in/Bhandar2022/jar.pdf	/home/paresh/websites/mst/www.mscepune.in/Bhandar2022/jar.44.delayed	(from https://www.mscepune.in/)
00:22:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:47%20GMT	http://www.mscepune.in/Bhandar2022/raddi2022.pdf	/home/paresh/websites/mst/www.mscepune.in/Bhandar2022/raddi2022.45.delayed	(from https://www.mscepune.in/)
00:22:51	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:49%20GMT	http://www.mscepune.in/gccsec/Pest%20Control%20Darpatrak%2028.06.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/Pest%20Control%20Darpatrak%2028.06.2022.46.delayed	(from https://www.mscepune.in/)
00:22:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:51%20GMT	http://www.mscepune.in/gccsec/TreeCutting.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/TreeCutting.47.delayed	(from https://www.mscepune.in/)
00:22:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:53%20GMT	http://www.mscepune.in/gccsec/bayding%20dar%20patrak%2030.05.2022_page-0001.jpg	/home/paresh/websites/mst/www.mscepune.in/gccsec/bayding%20dar%20patrak%2030.05.2022_page-0001.48.delayed	(from https://www.mscepune.in/)
