date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:38	356818/356818	---M--	200	added ('OK')	application/pdf	etag:%229c3de39a70a3da1:0%22	http://www.mscepune.in/GCC/path/CamScanner%2005-10-2024%2018.03.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/CamScanner%2005-10-2024%2018.03.pdf	(from https://www.mscepune.in/)
00:05:06	690459/690459	---M--	200	added ('OK')	application/pdf	etag:%22c6aa6014579dda1:0%22	http://www.mscepune.in/GCC/path/3.5.24.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/3.5.24.pdf	(from https://www.mscepune.in/)
00:05:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:35:06%20GMT	http://www.mscepune.in/GCC/path/%c3%a0%c2%a4%c2%b5%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%b9%c3%a0%c2%a4%c2%a8.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/%c3%a0%c2%a4%c2%b5%c3%a0%c2%a4%c2%be%c3%a0%c2%a4%c2%b9%c3%a0%c2%a4%c2%a8.3e.delayed	(from https://www.mscepune.in/)
00:05:27	2272898/2272898	---M--	200	added ('OK')	application/pdf	etag:%227fd336564beada1:0%22	http://www.mscepune.in/GCC/path/kapat%20durusti.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/kapat%20durusti.pdf	(from https://www.mscepune.in/)
00:05:32	2489708/2489708	---M--	200	added ('OK')	application/pdf	etag:%22cd9b9ca663f4da1:0%22	http://www.mscepune.in/GCC/path/Peti%20darpatrak.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Peti%20darpatrak.pdf	(from https://www.mscepune.in/)
00:05:51	2753471/2753471	---M--	200	added ('OK')	application/pdf	etag:%22f51462419e3da1:0%22	http://www.mscepune.in/GCC/path/30.7.24%20darpatrak.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/30.7.24%20darpatrak.pdf	(from https://www.mscepune.in/)
00:06:45	213523/213523	---M--	200	added ('OK')	image/jpeg	etag:%22b21fcb54f65da1:0%22	http://www.mscepune.in/GCC/path/NewConnection.jpeg	/home/paresh/websites/mst/www.mscepune.in/GCC/path/NewConnection.jpg	(from https://www.mscepune.in/)
00:06:55	3910121/3910121	---M--	200	added ('OK')	application/pdf	etag:%22a5ff566251a0da1:0%22	http://www.mscepune.in/GCC/path/Scan_20240507_123941.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20240507_123941.pdf	(from https://www.mscepune.in/)
00:07:02	137826/137826	---M--	200	added ('OK')	image/jpeg	etag:%22844ccdbeee58da1:0%22	http://www.mscepune.in/gcc/path/1234.jpg	/home/paresh/websites/mst/www.mscepune.in/gcc/path/1234.jpg	(from https://www.mscepune.in/)
00:07:10	131652/131652	---M--	200	added ('OK')	image/jpeg	etag:%22b0737c3ee58da1:0%22	http://www.mscepune.in/gcc/path/123456.jpg	/home/paresh/websites/mst/www.mscepune.in/gcc/path/123456.jpg	(from https://www.mscepune.in/)
00:07:17	990778/990778	---M--	200	added ('OK')	application/pdf	etag:%220491f38d85fda1:0%22	http://www.mscepune.in/GCC/path/draft.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/draft.pdf	(from https://www.mscepune.in/)
00:07:27	258793/258793	---M--	200	added ('OK')	application/pdf	etag:%22cbae2ed4b44eda1:0%22	http://www.mscepune.in/GCC/path/Lan_Internet.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Lan_Internet.pdf	(from https://www.mscepune.in/)
00:07:30	3882780/3882780	---M--	200	added ('OK')	application/pdf	etag:%2245771a65c185da1:0%22	http://www.mscepune.in/GCC/path/Scan_20240403_174911.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Scan_20240403_174911.pdf	(from https://www.mscepune.in/)
00:07:41	279595/279595	---M--	200	added ('OK')	application/pdf	etag:%22b4b38083ad4eda1:0%22	http://www.mscepune.in/GCC/path/Toner24012024.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Toner24012024.pdf	(from https://www.mscepune.in/)
00:07:57	3341264/3341264	---M--	200	added ('OK')	application/pdf	etag:%221cab576dbb6fda1:0%22	http://www.mscepune.in/gcc/path/darpatrak%206.3.24.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/darpatrak%206.3.24.pdf	(from https://www.mscepune.in/)
00:07:58	376553/376553	---M--	200	added ('OK')	application/pdf	etag:%224e6ee6b76048da1:0%22	http://www.mscepune.in/GCC/path/server%20rent%20quotation.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/server%20rent%20quotation.pdf	(from https://www.mscepune.in/)
00:08:08	334343/334343	---M--	200	added ('OK')	application/pdf	etag:%22a3f5ccea1942da1:0%22	http://www.mscepune.in/gcc/path/CCTV_08012024.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/CCTV_08012024.pdf	(from https://www.mscepune.in/)
00:08:48	3653944/3653944	---M--	200	added ('OK')	application/pdf	etag:%229c63c16abb6fda1:0%22	http://www.mscepune.in/gcc/path/6.3.24.pdf	/home/paresh/websites/mst/www.mscepune.in/gcc/path/6.3.24.pdf	(from https://www.mscepune.in/)
00:09:01	3552811/3552811	---M--	200	added ('OK')	application/pdf	etag:%2245d81e6d1f5bda1:0%22	http://www.mscepune.in/GCC/path/Xerox%20Machine%20AMC%2009.02.2024.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/Xerox%20Machine%20AMC%2009.02.2024.pdf	(from https://www.mscepune.in/)
